Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Deck,Room,Encoded_First_Name
1,2,1,35,0,0,21,S,,,146
0,3,0,22,0,0,7.25,S,,,427
0,2,0,30,0,0,13,S,,,315
0,3,0,,1,0,7.75,Q,,,621
1,1,1,31,1,0,113.275,C,4,36,512
1,3,1,27,0,0,7.925,S,,,202
0,2,0,42,1,0,27,S,,,678
1,1,1,32,0,0,76.2917,C,4,15,31
0,2,0,30,0,0,10.5,S,,,749
1,3,0,16,0,0,8.05,S,,,741
0,2,0,27,0,0,13,S,,,387
0,3,0,51,0,0,8.05,S,,,289
0,3,0,,0,0,7.8958,S,,,143
1,1,0,38,1,0,90,S,3,93,277
0,3,0,22,0,0,9.35,S,,,464
1,2,0,19,0,0,10.5,S,,,785
0,3,0,20.5,0,0,7.25,S,,,425
0,2,0,18,0,0,13,S,,,82
0,3,1,,3,1,25.4667,S,,,549
1,1,1,35,1,0,83.475,S,3,83,340
0,3,0,29,0,0,7.775,S,,,102
0,2,0,59,0,0,13.5,S,,,239
1,3,1,5,4,2,31.3875,S,,,500
0,2,0,24,0,0,10.5,S,,,651
0,3,1,,0,0,7.55,S,,,49
0,2,0,44,1,0,26,S,,,696
1,2,1,8,0,2,26.25,S,,,540
0,2,0,19,0,0,10.5,S,,,280
0,2,0,33,0,0,12.275,S,,,289
0,3,1,,1,0,14.4542,C,,,707
1,3,1,,1,0,15.5,Q,,,470
0,2,0,29,0,0,10.5,S,,,631
0,3,0,22,0,0,7.125,S,,,553
0,3,0,30,0,0,7.225,C,,,687
0,1,0,44,2,0,90,Q,3,78,776
0,3,1,25,0,0,7.775,S,,,22
1,2,1,24,0,2,14.5,S,,,763
1,1,0,37,1,1,52.5542,S,4,35,643
0,2,0,54,1,0,26,S,,,234
0,3,0,,0,0,7.25,S,,,386
0,3,1,29,1,1,10.4625,S,7,6,759
0,1,0,62,0,0,26.55,S,3,87,791
0,3,0,30,1,0,16.1,S,,,769
0,3,1,41,0,2,20.2125,S,,,744
1,3,1,29,0,2,15.2458,C,,,156
1,1,1,,0,0,79.2,C,,,299
1,1,1,30,0,0,86.5,S,2,77,300
1,1,1,35,0,0,512.3292,C,,,65
1,2,1,50,0,1,26,S,,,10
0,3,0,,0,0,7.75,Q,,,710
1,3,0,3,4,2,31.3875,S,,,178
0,1,0,52,1,1,79.65,S,5,67,219
0,1,0,40,0,0,0,S,2,94,760
0,3,1,,0,0,7.75,Q,,,160
0,2,0,36,0,0,10.5,S,,,157
0,3,0,16,4,1,39.6875,S,,,238
1,3,0,25,1,0,7.775,S,,,242
1,1,1,58,0,1,153.4625,S,3,125,793
1,1,1,35,0,0,135.6333,S,3,99,52
0,1,0,,0,0,31,S,,,33
1,3,0,25,0,0,0,S,,,782
1,2,1,41,0,1,19.5,S,,,5
0,1,0,37,0,1,29.7,C,3,118,135
1,3,1,,0,0,7.75,Q,,,313
1,1,1,63,1,0,77.9583,S,4,7,478
0,3,1,45,0,0,7.75,S,,,96
0,2,0,,0,0,0,S,,,258
0,3,0,7,4,1,29.125,Q,,,228
1,3,1,35,1,1,20.25,S,,,693
0,3,0,65,0,0,7.75,Q,,,262
0,3,0,28,0,0,7.8542,S,,,583
0,3,0,16,0,0,9.5,S,,,37
1,3,0,19,0,0,8.05,S,,,182
0,1,0,,0,0,26,S,1,19,645
0,3,0,33,0,0,8.6625,C,,,374
1,3,0,30,0,0,9.5,S,,,709
0,3,0,22,0,0,7.8958,S,,,606
1,2,0,42,0,0,13,S,,,548
1,3,1,22,0,0,7.75,Q,,,468
1,1,1,26,0,0,78.85,S,,,212
1,1,1,19,1,0,91.0792,C,2,49,164
0,2,0,36,0,0,12.875,C,4,,635
0,3,1,24,0,0,8.85,S,,,50
0,3,0,24,0,0,7.8958,S,,,374
0,1,0,,0,0,27.7208,C,,,244
0,3,0,23.5,0,0,7.2292,C,,,518
0,1,1,2,1,2,151.55,S,3,22 C26,331
1,1,0,,0,0,30.5,S,3,106,21
1,1,1,50,0,1,247.5208,C,2,58 B60,384
1,3,1,,0,0,7.75,Q,,,67
1,3,0,,2,0,23.25,Q,,,107
0,3,0,19,0,0,0,S,,,775
1,2,1,,0,0,12.35,Q,5,101,585
0,3,0,,0,0,8.05,S,,,359
1,1,0,0.92,1,2,151.55,S,3,22 C26,361
1,1,1,,0,0,110.8833,C,,,522
1,1,1,17,1,0,108.9,C,3,65,743
0,2,0,30,1,0,24,C,,,662
1,1,1,30,0,0,56.9292,C,5,36,484
1,1,1,24,0,0,83.1583,C,3,54,524
1,1,1,18,2,2,262.375,C,2,57 B59 B63 B66,223
0,2,1,26,1,1,26,S,,,762
0,3,0,28,0,0,7.8958,S,,,368
0,2,0,43,1,1,26.25,S,,,103
1,3,1,26,0,0,7.8542,S,,,335
1,2,1,24,1,0,26,S,,,686
0,2,0,54,0,0,14,S,,,232
1,1,1,31,0,2,164.8667,S,3,7,547
1,1,1,40,1,1,134.5,C,5,34,269
0,3,0,22,0,0,7.25,S,,,662
0,3,0,27,0,0,7.8958,S,,,796
1,2,1,30,0,0,12.35,Q,,,354
1,2,1,22,1,1,29,S,,,29
0,3,0,,8,2,69.55,S,,,291
1,1,1,36,0,0,135.6333,C,3,32,534
0,3,0,61,0,0,6.2375,S,,,406
1,2,1,36,0,0,13,S,4,,0
1,3,1,31,1,1,20.525,S,,,264
1,1,1,16,0,1,57.9792,C,2,18,396
1,3,1,,2,0,23.25,Q,,,23
0,1,0,45.5,0,0,28.5,S,3,124,99
0,1,0,38,0,1,153.4625,S,3,91,287
0,3,0,16,2,0,18,S,,,489
1,1,1,,1,0,133.65,S,,,351
0,3,0,,0,0,7.8958,S,,,568
0,1,0,29,1,0,66.6,S,3,2,715
1,1,1,41,0,0,134.5,C,5,40,208
1,3,0,45,0,0,8.05,S,,,461
0,1,0,45,0,0,35.5,S,T,,698
1,2,0,2,1,1,26,S,6,2,175
1,1,1,24,3,2,263,S,3,23 C25 C27,48
0,2,0,28,0,0,13,S,,,230
0,2,0,25,0,0,13,S,,,134
0,2,0,36,0,0,13,S,,,692
1,2,1,24,0,0,13,S,6,33,53
1,2,1,40,0,0,13,S,,,537
1,3,1,,1,0,16.1,S,,,718
1,3,0,3,1,1,15.9,S,,,788
0,3,0,42,0,0,8.6625,S,,,447
0,3,0,23,0,0,9.225,S,,,584
0,1,0,,0,0,35,S,3,128,255
0,3,0,15,1,1,7.2292,C,,,705
0,3,0,25,1,0,17.8,S,,,437
0,3,0,,0,0,7.225,C,,,756
0,3,0,28,0,0,9.5,S,,,490
1,1,1,22,0,1,55,S,5,33,218
0,2,1,38,0,0,13,S,,,72
1,3,1,,0,0,7.8792,Q,,,544
1,3,1,,0,0,7.8792,Q,,,332
0,3,0,40,1,4,27.9,S,,,758
0,2,0,29,1,0,27.7208,C,,,673
0,3,1,45,0,1,14.4542,C,,,3
0,3,0,35,0,0,7.05,S,,,19
0,3,0,,1,0,15.5,Q,,,710
0,3,0,30,0,0,7.25,S,,,556
1,1,1,60,1,0,75.25,C,4,37,266
1,3,1,,0,0,7.2292,C,,,11
1,3,1,,0,0,7.75,Q,,,71
1,1,1,24,0,0,69.3,C,2,35,494
1,1,0,25,1,0,55.4417,C,5,50,284
0,3,0,18,1,0,6.4958,S,,,381
0,3,0,19,0,0,8.05,S,,,791
0,1,0,22,0,0,135.6333,C,,,669
0,3,1,3,3,1,21.075,S,,,699
1,1,1,,1,0,82.1708,C,,,173
1,3,1,22,0,0,7.25,S,,,98
0,1,0,27,0,2,211.5,C,3,82,325
0,3,0,20,0,0,4.0125,C,,,705
0,3,0,19,0,0,7.775,S,,,462
1,1,1,42,0,0,227.525,C,,,656
1,3,1,1,0,2,15.7417,C,,,532
0,3,0,32,0,0,7.925,S,,,453
1,1,1,35,1,0,52,S,,,36
0,3,0,,0,0,7.8958,S,,,738
0,2,0,18,0,0,73.5,S,,,137
0,3,0,1,5,2,46.9,S,,,677
1,2,1,36,0,0,13,S,,,468
0,3,0,,0,0,7.7292,Q,,,551
1,2,1,17,0,0,12,C,,,109
1,1,0,36,1,2,120,S,2,96 B98,777
1,3,0,21,0,0,7.7958,S,,,118
0,3,0,28,2,0,7.925,S,,,404
1,1,1,23,1,0,113.275,C,4,36,539
1,3,1,24,0,2,16.7,S,7,6,357
0,3,0,22,0,0,7.7958,S,,,229
0,3,1,31,0,0,7.8542,S,,,203
0,2,0,46,0,0,26,S,,,615
0,2,0,23,0,0,10.5,S,,,39
1,2,1,28,0,0,12.65,S,,,781
1,3,0,39,0,0,7.925,S,,,450
0,3,0,26,0,0,8.05,S,,,414
0,3,1,21,1,0,9.825,S,,,531
0,3,0,28,1,0,15.85,S,,,604
0,3,1,20,0,0,8.6625,S,,,535
0,2,0,34,1,0,21,S,,,675
0,3,0,51,0,0,7.75,S,,,120
1,2,0,3,1,1,18.75,S,,,790
0,3,0,21,0,0,7.775,S,,,317
0,3,1,,3,1,25.4667,S,,,366
0,3,0,,0,0,7.8958,S,,,733
0,3,0,,0,0,6.8583,Q,,,338
1,1,1,33,1,0,90,Q,3,78,151
0,2,0,,0,0,0,S,,,40
1,3,0,44,0,0,7.925,S,,,408
0,3,1,,0,0,8.05,S,,,711
1,2,1,34,1,1,32.5,S,,,390
1,2,1,18,0,2,13,S,,,509
0,2,0,30,0,0,13,S,,,785
0,3,1,10,0,2,24.15,S,,,123
0,3,0,,0,0,7.8958,C,,,690
0,3,0,21,0,0,7.7333,Q,,,157
0,3,0,29,0,0,7.875,S,,,488
0,3,1,28,1,1,14.4,S,,,241
0,3,0,18,1,1,20.2125,S,,,745
0,3,0,,0,0,7.25,S,,,622
1,2,1,28,1,0,26,S,,,141
1,2,1,19,0,0,26,S,,,469
0,3,0,,0,0,7.75,Q,,,382
1,3,0,32,0,0,8.05,S,5,10,106
1,1,0,28,0,0,26.55,S,3,52,555
1,3,1,,1,0,16.1,S,,,608
1,2,1,42,1,0,26,S,,,130
0,3,0,17,0,0,7.125,S,,,580
0,1,0,50,1,0,55.9,S,5,44,772
1,1,1,14,1,2,120,S,2,96 B98,505
0,3,1,21,2,2,34.375,S,,,166
1,2,1,24,2,3,18.75,S,,,676
0,1,0,64,1,4,263,S,3,23 C25 C27,541
0,2,0,31,0,0,10.5,S,,,407
1,2,1,45,1,1,26.25,S,,,104
0,3,0,20,0,0,9.5,S,,,491
0,3,0,25,1,0,7.775,S,,,405
1,2,1,28,0,0,13,S,,,225
1,3,0,,0,0,8.1125,S,,,108
1,1,0,4,0,2,81.8583,S,1,34,754
1,2,1,13,0,1,19.5,S,,,513
1,1,0,34,0,0,26.55,S,,,268
1,3,1,5,2,1,19.2583,C,,,533
1,1,0,52,0,0,30.5,S,3,104,85
0,2,0,36,1,2,27.75,S,,,193
0,3,0,,1,0,19.9667,S,,,373
0,1,0,30,0,0,27.75,C,3,111,105
1,1,0,49,1,0,89.1042,C,3,92,667
0,3,0,,0,0,8.05,S,,,439
1,3,0,29,0,0,7.8958,C,,,374
0,1,0,65,0,0,26.55,S,5,38,259
1,1,1,,1,0,51.8625,S,4,21,279
1,2,1,50,0,0,10.5,S,,,211
0,3,0,,0,0,7.75,Q,,,554
1,1,0,48,0,0,26.55,S,5,12,323
0,3,0,34,0,0,8.05,S,,,760
0,1,0,47,0,0,38.5,S,5,63,86
0,2,0,48,0,0,13,S,,,377
0,3,0,,0,0,8.05,S,,,683
0,3,0,38,0,0,7.05,S,,,520
0,2,0,,0,0,0,S,,,760
0,1,0,56,0,0,26.55,S,,,431
0,3,0,,0,0,7.725,Q,,,382
1,3,1,0.75,2,1,19.2583,C,,,334
0,3,0,,0,0,7.25,S,,,83
0,3,0,38,0,0,8.6625,S,,,508
1,2,1,33,1,2,27.75,S,,,194
1,2,1,23,0,0,13.7917,C,4,,56
0,3,1,22,0,0,9.8375,S,,,367
0,1,0,,0,0,52,S,1,14,293
0,2,0,34,1,0,21,S,,,617
0,3,0,29,1,0,7.0458,S,,,498
0,3,0,22,0,0,7.5208,S,,,582
1,3,1,2,0,1,12.2875,S,,,355
0,3,0,9,5,2,46.9,S,,,321
0,2,0,,0,0,0,S,,,75
0,3,0,50,0,0,8.05,S,,,641
1,3,1,63,0,0,9.5875,S,,,7
1,1,0,25,1,0,91.0792,C,2,49,163
0,3,1,,3,1,25.4667,S,,,397
1,1,1,35,1,0,90,S,3,93,278
0,1,0,58,0,0,29.7,C,2,37,183
0,3,0,30,0,0,8.05,S,,,260
1,3,0,9,1,1,15.9,S,,,171
0,3,0,,1,0,19.9667,S,,,477
0,3,0,21,0,0,7.25,S,,,195
0,1,0,55,0,0,30.5,S,3,30,326
0,1,0,71,0,0,49.5042,C,,,629
0,3,0,21,0,0,8.05,S,,,189
0,3,0,,0,0,14.4583,C,,,298
1,1,1,54,1,0,78.2667,C,4,20,209
0,3,0,,0,0,15.1,S,,,280
0,1,1,25,1,2,151.55,S,3,22 C26,360
0,3,0,24,0,0,7.7958,S,,,592
0,3,0,17,0,0,8.6625,S,,,612
0,3,1,21,0,0,7.75,Q,,,544
0,3,1,,0,0,7.6292,Q,,,115
0,3,1,37,0,0,9.5875,S,,,479
1,1,1,16,0,0,86.5,S,2,79,653
0,1,0,18,1,0,108.9,C,3,65,742
1,2,1,33,0,2,26,S,,,273
1,1,0,,0,0,26.55,S,,,283
0,3,0,28,0,0,22.525,S,,,344
1,3,0,26,0,0,56.4958,S,,,251
1,3,0,29,0,0,7.75,Q,,,247
0,3,0,,0,0,8.05,S,,,382
1,1,0,36,0,0,26.2875,S,5,25,389
1,1,1,54,1,0,59.4,C,,,543
0,3,0,24,0,0,7.4958,S,,,672
0,1,0,47,0,0,34.0208,S,4,46,768
1,2,1,34,0,0,10.5,S,6,33,1
0,3,0,,0,0,24.15,Q,,,599
1,2,1,36,1,0,26,S,,,766
0,3,0,32,0,0,7.8958,S,,,694
1,1,1,30,0,0,93.5,S,2,73,70
0,3,0,22,0,0,7.8958,S,,,393
0,3,0,,0,0,7.225,C,,,671
1,1,1,44,0,1,57.9792,C,2,18,504
0,3,0,,0,0,7.2292,C,,,252
0,3,0,40.5,0,0,7.75,Q,,,382
1,2,1,50,0,0,10.5,S,,,506
0,1,0,,0,0,221.7792,S,3,95,414
0,3,0,39,0,0,7.925,S,,,410
0,2,0,23,2,1,11.5,S,,,640
1,2,1,2,1,1,26,S,,,623
0,3,0,,0,0,7.2292,C,,,571
0,3,0,17,1,1,7.2292,C,,,445
1,3,1,,0,2,22.3583,C,,,124
0,3,1,30,0,0,8.6625,S,,,535
1,2,1,7,0,2,26.25,S,,,249
0,1,0,45,0,0,26.55,S,2,38,81
1,1,1,30,0,0,106.425,C,,,109
0,3,0,,0,0,14.5,S,,,665
1,1,1,22,0,2,49.5,C,2,39,329
1,1,1,36,0,2,71,S,2,22,322
0,3,1,9,4,2,31.275,S,,,372
0,3,1,11,4,2,31.275,S,,,680
1,2,0,32,1,0,26,S,,,179
0,1,0,50,1,0,106.425,C,3,86,752
0,1,0,64,0,0,26,S,,,84
1,2,1,19,1,0,26,S,,,180
1,2,0,,0,0,13.8625,C,,,454
0,3,0,33,1,1,20.525,S,,,263
1,2,0,8,1,1,36.75,S,,,432
1,1,0,17,0,2,110.8833,C,3,70,418
0,2,0,27,0,0,26,S,,,609
0,3,0,,0,0,7.8292,Q,,,731
1,3,0,22,0,0,7.225,C,,,250
1,3,1,22,0,0,7.775,S,,,739
0,1,0,62,0,0,26.55,S,,,282
1,1,1,48,1,0,39.6,C,1,16,9
0,1,0,,0,0,227.525,C,,,740
1,1,1,39,1,1,79.65,S,5,67,220
1,3,1,36,1,0,17.4,S,,,304
0,3,0,,0,0,7.75,Q,,,725
0,3,0,40,0,0,7.8958,S,,,365
0,2,0,28,0,0,13.5,S,,,648
0,3,0,,0,0,8.05,S,,,414
0,3,1,,0,0,8.05,S,,,12
0,3,0,24,2,0,24.15,S,,,42
0,3,0,19,0,0,7.8958,S,,,370
0,3,1,29,0,4,21.075,S,,,581
0,3,0,,0,0,7.2292,C,,,705
1,3,0,32,0,0,7.8542,S,,,117
1,2,0,62,0,0,10.5,S,,,282
1,1,1,53,2,0,51.4792,S,3,101,184
1,1,0,36,0,0,26.3875,S,5,25,429
1,3,1,,0,0,7.75,Q,,,544
0,3,0,16,0,0,8.05,S,,,41
0,3,0,19,0,0,14.5,S,,,282
1,2,1,34,0,0,13,S,,,245
1,1,1,39,1,0,55.9,S,5,44,773
0,3,1,,1,0,14.4583,C,,,441
1,3,0,32,0,0,7.925,S,,,198
1,2,1,25,1,1,30,S,,,455
1,1,1,39,1,1,110.8833,C,3,68,417
0,2,0,54,0,0,26,S,,,784
0,1,0,36,0,0,40.125,C,1,10,428
0,3,0,,0,0,8.7125,C,,,737
1,1,1,18,0,2,79.65,S,5,68,658
0,2,0,47,0,0,15,S,,,422
1,1,0,60,1,1,79.2,C,2,41,558
0,3,0,22,0,0,8.05,S,,,201
0,3,0,,0,0,8.05,S,,,439
0,3,0,35,0,0,7.125,S,,,552
1,1,1,52,1,0,78.2667,C,4,20,750
0,3,0,47,0,0,7.25,S,,,784
0,3,1,,0,2,7.75,Q,,,544
0,2,0,37,1,0,26,S,,,427
0,3,0,36,1,1,24.15,S,,,394
1,2,1,,0,0,33,S,,,400
0,3,0,49,0,0,0,S,,,39
0,3,0,,0,0,7.225,C,,,311
1,1,0,49,1,0,56.9292,C,1,20,149
1,2,1,24,2,1,27,S,,,679
0,3,0,,0,0,7.8958,S,,,613
0,1,0,,0,0,42.4,S,,,135
0,3,0,44,0,0,8.05,S,,,243
1,1,0,35,0,0,26.55,C,,,324
0,3,0,36,1,0,15.55,S,,,177
0,3,0,30,0,0,7.8958,S,,,563
1,1,0,27,0,0,30.5,S,,,652
1,2,1,22,1,2,41.5792,C,,,440
1,1,1,40,0,0,153.4625,S,3,125,210
0,3,1,39,1,5,31.275,S,,,59
0,3,0,,0,0,7.05,S,,,436
1,3,1,,1,0,15.5,Q,,,527
0,3,0,,0,0,7.75,Q,,,414
0,3,0,35,0,0,8.05,S,,,767
1,2,1,24,1,2,65,S,,,46
0,3,0,34,1,1,14.4,S,,,240
0,3,1,26,1,0,16.1,S,,,770
1,2,1,4,2,1,39,S,6,4,538
